Station Name	MARIEVILLE
Province	QUEBEC
Latitude	45.4
Longitude	-73.13
Elevation	38.0
Climate Identifier	7024627

Created by	Rainbird Beta 4.0.2
Created on	08/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	4
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	2000/01/01
Date End	2013/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	449 (8.8 % of total)	449 (100.0 % of missing)		4.0	0.91		409 (91.1 % of filled)	345 (76.8 % of filled)	404 (90.0 % of filled)	393 (87.5 % of filled)	142 (31.6 % of filled)	29 (6.5 % of filled)	6 (1.3 % of filled)	0 (0.0 % of filled)	1 (0.2 % of filled)	64 (14.3 % of filled)	3 (0.7 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	489 (9.6 % of total)	489 (100.0 % of missing)		4.0	1.13		455 (93.0 % of filled)	406 (83.0 % of filled)	107 (21.9 % of filled)	444 (90.8 % of filled)	475 (97.1 % of filled)	32 (6.5 % of filled)	11 (2.2 % of filled)	21 (4.3 % of filled)	2 (0.4 % of filled)	1 (0.2 % of filled)	1 (0.2 % of filled)	1 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	570 (11.1 % of total)	570 (100.0 % of missing)		4.0	0.76		506 (88.8 % of filled)	413 (72.5 % of filled)	491 (86.1 % of filled)	479 (84.0 % of filled)	185 (32.5 % of filled)	49 (8.6 % of filled)	73 (12.8 % of filled)	60 (10.5 % of filled)	2 (0.4 % of filled)	5 (0.9 % of filled)	13 (2.3 % of filled)	1 (0.2 % of filled)	2 (0.4 % of filled)	1 (0.2 % of filled)
Total Precip (mm)	407 (8.0 % of total)	407 (100.0 % of missing)		4.0	3.82		386 (94.8 % of filled)	356 (87.5 % of filled)	404 (99.3 % of filled)	6 (1.5 % of filled)	405 (99.5 % of filled)	2 (0.5 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	69 (17.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)

TOTAL	1915 (9.4 % of total)	1915 (100.0 % of missing)		---	---		1756 (91.7 % of filled)	1520 (79.4 % of filled)	1406 (73.4 % of filled)	1322 (69.0 % of filled)	1207 (63.0 % of filled)	112 (5.8 % of filled)	90 (4.7 % of filled)	81 (4.2 % of filled)	74 (3.9 % of filled)	70 (3.7 % of filled)	17 (0.9 % of filled)	2 (0.1 % of filled)	2 (0.1 % of filled)	1 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2000	2	1	4	0.9	-1.5	-2.0	-0.5	-2.0	-2.5										
Max Temp (deg C)	2000	2	2	4	0.9	-13.3	-13.0	-13.0	-14.0	-13.5										
Max Temp (deg C)	2000	2	3	4	0.9	-10.7	-13.0	-9.0	-11.0	-10.0										
Max Temp (deg C)	2000	2	4	4	0.9	-11.8	-12.5	-11.5	-14.0	-8.0										
Max Temp (deg C)	2000	2	5	4	0.9	-6.5	-7.0	-6.5	-6.5	-5.0										
Max Temp (deg C)	2000	2	6	4	0.9	-3.0	-3.0	-1.5	-8.0	-2.0										
Max Temp (deg C)	2000	2	7	4	0.9	-2.7	-3.0	-2.0	-4.0	-2.0										
Max Temp (deg C)	2000	2	8	4	0.9	-5.8	-6.0	-5.5	-6.0	-5.5										
Max Temp (deg C)	2000	2	9	4	0.9	-0.1	0.0	1.0	-2.0	-1.5										
Max Temp (deg C)	2000	2	10	4	0.9	-8.5	-9.0	-8.5	-9.0	-6.5										
Max Temp (deg C)	2000	2	11	4	0.9	-5.5	-6.0	-5.0	-7.0	-4.0										
Max Temp (deg C)	2000	5	31	4	0.9	21.5	22.5	20.5	22.0	22.0										
Max Temp (deg C)	2000	6	2	4	0.9	22.6	21.0	22.5	24.0	24.5										
Max Temp (deg C)	2000	6	10	4	0.9	14.5	14.0	15.0	15.5	13.0										
Max Temp (deg C)	2000	6	11	4	0.9	13.6	14.0	14.0	12.5	13.0										
Max Temp (deg C)	2000	6	12	4	0.9	20.7	21.0	20.5	21.0	20.5										
Max Temp (deg C)	2000	6	13	4	0.9	21.1	22.0	21.0	20.0	20.5										
Max Temp (deg C)	2000	6	14	4	0.9	18.4	19.0	18.0	19.0	18.0										
Max Temp (deg C)	2000	6	15	4	0.9	25.7	27.5	24.0	27.0	25.5										
Max Temp (deg C)	2000	6	21	4	0.9	22.6	23.0	22.5	22.0	22.5										
Max Temp (deg C)	2000	6	22	4	0.9	27.4	27.0	27.5	27.0	28.0										
Max Temp (deg C)	2000	6	23	4	0.9	23.2	23.0	23.5	22.5	23.5										
Max Temp (deg C)	2000	6	24	4	0.9	25.8	25.5	25.5	26.0	27.0										
Max Temp (deg C)	2000	6	25	4	0.9	24.5	24.0	24.5	25.0	25.0										
Max Temp (deg C)	2000	6	26	4	0.9	30.5	30.0	30.5	31.0	30.5										
Max Temp (deg C)	2000	6	27	4	0.9	25.5	25.0	25.5	25.0	27.0										
Max Temp (deg C)	2000	6	28	4	0.9	23.7	23.0	24.0	24.0	24.0										
Max Temp (deg C)	2000	7	1	4	0.9	25.1	25.0	24.5	25.5	26.5										
Max Temp (deg C)	2000	7	2	4	0.9	28.4	27.0	29.0	28.0	29.5										
Max Temp (deg C)	2000	7	3	4	0.9	21.8	20.0	20.5	26.5	24.5										
Max Temp (deg C)	2000	7	4	4	0.9	26.3	25.5	26.5	26.0	27.5										
Max Temp (deg C)	2000	7	5	4	0.9	20.9	21.0	20.5	21.0	22.0										
Max Temp (deg C)	2000	7	6	4	0.9	22.5	22.0	22.5	22.5	23.5										
Max Temp (deg C)	2000	7	7	4	0.9	20.0	20.5	19.5	20.5	20.0										
Max Temp (deg C)	2000	7	8	4	0.9	24.2	25.0	23.5	23.5	25.0										
Max Temp (deg C)	2000	7	9	4	0.9	19.2	19.0	19.0	19.5	20.0										
Max Temp (deg C)	2000	7	10	4	0.9	23.9	24.0	24.0	23.0	24.5										
Max Temp (deg C)	2000	7	11	4	0.9	23.0	22.0	23.5	22.5	24.0										
Max Temp (deg C)	2000	7	12	4	0.9	27.6	28.0	27.5	27.0	27.5										
Max Temp (deg C)	2000	7	13	4	0.9	27.4	27.0	27.5	27.5	28.0										
Max Temp (deg C)	2000	7	14	4	0.9	28.7	29.0	28.5	29.0	28.5										
Max Temp (deg C)	2000	7	15	4	0.9	26.0	25.5	26.5	26.0	25.0										
Max Temp (deg C)	2000	7	16	4	0.9	25.7	25.5	26.0	25.5	25.5										
Max Temp (deg C)	2000	7	17	4	0.9	25.2	25.0	25.5	25.0	24.5										
Max Temp (deg C)	2000	7	18	4	0.9	24.9	25.0	25.0	24.0	25.5										
Max Temp (deg C)	2000	7	19	4	0.9	20.3	20.0	20.5	20.0	20.5										
Max Temp (deg C)	2000	7	20	4	0.9	22.9	22.5	23.0	23.0	23.5										
Max Temp (deg C)	2000	7	21	4	0.9	22.3	22.5	22.0	22.5	22.5										
Max Temp (deg C)	2000	7	22	4	0.9	21.5	21.5	21.5	22.0	21.0										
Max Temp (deg C)	2000	7	23	4	0.9	24.7	24.5	24.5	25.0	25.0										
Max Temp (deg C)	2000	7	24	4	0.9	27.6	27.0	27.5	29.0	27.5										
Max Temp (deg C)	2000	7	25	4	0.9	29.6	29.0	29.5	31.0	29.5										
Max Temp (deg C)	2000	7	26	4	0.9	28.4	28.5	28.0	29.5	28.0										
Max Temp (deg C)	2000	7	27	4	0.9	24.4	24.0	24.0	25.0	26.0										
