Station Name	MARIEVILLE
Province	QUEBEC
Latitude	45.4
Longitude	-73.13
Elevation	38.0
Climate Identifier	7024627

Created by	Rainbird Beta 4.0.2
Created on	08/12/2014

Year	Month	Day	Max Temp (deg C)	Min Temp (deg C)	Mean Temp (deg C)	Total Precip (mm)
2000.0	1.0	1.0	2.0	-12.699999999999999	-5.4000000000000004	0.0
2000.0	1.0	2.0	9.0	-6.0	1.5	6.7999999999999998
2000.0	1.0	3.0	2.5	-3.5	-0.5	6.0
2000.0	1.0	4.0	7.5	-3.5	2.0	4.5999999999999996
2000.0	1.0	5.0	-8.0	-10.5	-9.3000000000000007	0.0
2000.0	1.0	6.0	1.0	-12.0	-5.5	0.0
2000.0	1.0	7.0	1.0	-2.0	-0.5	4.0
2000.0	1.0	8.0	1.0	-10.5	-4.7999999999999998	0.0
2000.0	1.0	9.0	2.5	-2.0	0.29999999999999999	0.0
2000.0	1.0	10.0	5.0	0.5	2.7999999999999998	19.199999999999999
2000.0	1.0	11.0	5.0	0.0	2.5	0.0
2000.0	1.0	12.0	-3.5	-6.5	-5.0	0.0
2000.0	1.0	13.0	-13.0	-13.5	-13.300000000000001	0.0
2000.0	1.0	14.0	-16.0	-22.0	-19.0	0.0
2000.0	1.0	15.0	-5.0	-21.5	-13.300000000000001	5.0
2000.0	1.0	16.0	-2.0	-15.5	-8.8000000000000007	0.0
2000.0	1.0	17.0	-19.0	-24.5	-21.800000000000001	0.0
2000.0	1.0	18.0	-17.0	-26.0	-21.5	0.0
2000.0	1.0	19.0	-13.0	-26.0	-19.5	0.0
2000.0	1.0	20.0	-12.0	-20.5	-16.300000000000001	2.0
2000.0	1.0	21.0	-15.0	-18.5	-16.800000000000001	0.0
2000.0	1.0	22.0	-19.0	-24.5	-21.800000000000001	0.0
2000.0	1.0	23.0	-4.5	-25.0	-14.800000000000001	0.0
2000.0	1.0	24.0	-3.0	-16.5	-9.8000000000000007	0.0
2000.0	1.0	25.0	-6.5	-15.0	-10.800000000000001	7.0
2000.0	1.0	26.0	-5.0	-8.5	-6.7999999999999998	13.0
2000.0	1.0	27.0	-13.0	-19.5	-16.300000000000001	0.0
2000.0	1.0	28.0	-13.0	-20.0	-16.5	0.0
2000.0	1.0	29.0	-8.5	-22.0	-15.300000000000001	0.0
2000.0	1.0	30.0	-3.0	-17.0	-10.0	7.0
2000.0	1.0	31.0	-0.5	-13.0	-6.7999999999999998	8.0
2000.0	2.0	1.0	-1.5	-7.0	-4.2999999999999998	1.6000000000000001
2000.0	2.0	2.0	-13.300000000000001	-16.100000000000001	-14.699999999999999	0.0
