Station Name	ST HYACINTHE 2
Province	QUEBEC
Latitude	45.57
Longitude	-72.92
Elevation	33.0
Climate Identifier	7027361

Created by	Rainbird Beta 4.0.2
Created on	08/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	4
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	2000/01/01
Date End	2013/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	316 (6.2 % of total)	316 (100.0 % of missing)		4.0	0.90		311 (98.4 % of filled)	301 (95.3 % of filled)	276 (87.3 % of filled)	47 (14.9 % of filled)	105 (33.2 % of filled)	212 (67.1 % of filled)	2 (0.6 % of filled)	8 (2.5 % of filled)	1 (0.3 % of filled)	0 (0.0 % of filled)	1 (0.3 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	317 (6.2 % of total)	317 (100.0 % of missing)		4.0	1.19		312 (98.4 % of filled)	287 (90.5 % of filled)	283 (89.3 % of filled)	294 (92.7 % of filled)	17 (5.4 % of filled)	2 (0.6 % of filled)	65 (20.5 % of filled)	5 (1.6 % of filled)	2 (0.6 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	1 (0.3 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	380 (7.4 % of total)	380 (100.0 % of missing)		4.0	0.80		362 (95.3 % of filled)	328 (86.3 % of filled)	316 (83.2 % of filled)	333 (87.6 % of filled)	93 (24.5 % of filled)	12 (3.2 % of filled)	49 (12.9 % of filled)	13 (3.4 % of filled)	7 (1.8 % of filled)	0 (0.0 % of filled)	1 (0.3 % of filled)	1 (0.3 % of filled)	1 (0.3 % of filled)	1 (0.3 % of filled)	1 (0.3 % of filled)	1 (0.3 % of filled)	1 (0.3 % of filled)
Total Precip (mm)	287 (5.6 % of total)	287 (100.0 % of missing)		4.0	3.30		279 (97.2 % of filled)	283 (98.6 % of filled)	266 (92.7 % of filled)	44 (15.3 % of filled)	271 (94.4 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	4 (1.4 % of filled)	1 (0.3 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)

TOTAL	1300 (6.4 % of total)	1300 (100.0 % of missing)		---	---		1264 (97.2 % of filled)	1199 (92.2 % of filled)	1141 (87.8 % of filled)	718 (55.2 % of filled)	486 (37.4 % of filled)	226 (17.4 % of filled)	116 (8.9 % of filled)	26 (2.0 % of filled)	10 (0.8 % of filled)	4 (0.3 % of filled)	3 (0.2 % of filled)	2 (0.2 % of filled)	1 (0.1 % of filled)	1 (0.1 % of filled)	1 (0.1 % of filled)	1 (0.1 % of filled)	1 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	ST HYACINTHE 2	FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	2001	8	29	4	0.9	19.8	19.5	20.0	19.5			20.0											
Max Temp (deg C)	2001	8	30	4	0.9	24.0	23.5	24.0	24.0			24.0											
Max Temp (deg C)	2001	8	31	4	0.9	26.6	26.5	27.5	26.0			25.5											
Max Temp (deg C)	2005	11	14	4	0.9	9.8	10.0	10.0	9.5			10.0											
Max Temp (deg C)	2006	7	30	4	0.9	24.5	23.5	24.0	25.0			24.5											
Max Temp (deg C)	2006	7	31	4	0.9	27.5	27.0	28.0	27.0			27.5											
Max Temp (deg C)	2006	8	1	4	0.9	33.5	32.5	33.5	33.5			33.5											
Max Temp (deg C)	2006	8	2	4	0.9	29.4	28.0	29.0	30.0			30.0											
Max Temp (deg C)	2006	8	3	4	0.9	27.6	27.5	27.5	27.5			27.0											
Max Temp (deg C)	2009	7	31	4	0.9	22.2	22.0	22.5	22.0			22.0											
Max Temp (deg C)	2009	8	1	4	0.9	27.8	27.0	27.5	28.0			28.0											
Max Temp (deg C)	2009	8	2	4	0.9	23.9	23.5	22.5	24.5			24.0											
Max Temp (deg C)	2009	8	3	4	0.9	25.1	25.0	24.5	25.0			25.0											
Max Temp (deg C)	2009	8	4	4	0.9	28.4	28.0	28.5	28.0			28.5											
Max Temp (deg C)	2009	8	5	4	0.9	24.2	24.0	24.5	24.0			23.5											
Max Temp (deg C)	2009	8	6	4	0.9	23.3	23.5	23.0	23.0			23.0											
Max Temp (deg C)	2009	11	22	4	0.9	5.0	5.0	5.0	5.0			5.0											
Max Temp (deg C)	2009	12	31	4	0.9	-2.0	-3.5	-1.5	-1.0			-1.0											
Max Temp (deg C)	2010	7	28	4	0.9	29.2	29.0	29.5	28.5			29.0											
Max Temp (deg C)	2010	7	29	4	0.9	23.2	23.0	23.0	23.0			23.5											
Max Temp (deg C)	2010	7	30	4	0.9	20.2	19.5	20.5	20.0			20.5											
Max Temp (deg C)	2010	7	31	4	0.9	24.2	24.0	25.0	23.5			24.0											
Max Temp (deg C)	2010	8	1	4	0.9	27.2	26.5	27.5	27.0			27.5											
Max Temp (deg C)	2010	8	2	4	0.9	28.2	28.0	29.0	27.5			28.0											
Max Temp (deg C)	2010	8	3	4	0.87	24.9	25.0	25.0	24.0		25.0												
Max Temp (deg C)	2010	11	6	4	0.9	5.4	5.5	5.5	5.0			6.0											
Max Temp (deg C)	2010	11	16	4	0.87	12.4	11.5	12.0	13.0		12.0												
Max Temp (deg C)	2010	11	17	4	0.9	11.3	10.5	11.0	12.0			11.5											
Max Temp (deg C)	2010	11	18	4	0.99	5.3	5.0	5.5		5.0				5.0									
Max Temp (deg C)	2010	11	19	4	0.9	3.4	3.0	4.0	3.5			3.5											
Max Temp (deg C)	2010	11	20	4	0.9	5.4	4.5	5.0			4.0	7.5											
Max Temp (deg C)	2010	11	21	4	0.9	2.2	0.5	3.0			1.0	4.0											
Max Temp (deg C)	2010	11	22	4	0.9	8.6	4.5	8.5			9.0	11.0											
Max Temp (deg C)	2010	11	23	4	0.94	12.8	12.5			12.0		13.0		13.0									
Max Temp (deg C)	2010	11	24	4	0.9	1.6	2.0	2.0			1.0	1.5											
Max Temp (deg C)	2010	11	25	4	0.93	1.7	0.0			1.0	1.5	3.0											
Max Temp (deg C)	2010	11	26	4	0.94	3.5	2.5	3.5		2.5	4.0												
Max Temp (deg C)	2010	11	27	4	0.94	0.8	1.0	1.0		0.5	0.0												
Max Temp (deg C)	2010	11	28	4	0.9	1.9	1.0	2.5	2.0			3.0											
Max Temp (deg C)	2010	11	29	4	0.9	6.0	5.0	6.5			5.0	7.0											
Max Temp (deg C)	2010	11	30	4	0.9	9.2	8.5	8.0	10.0			10.0											
Max Temp (deg C)	2010	12	1	4	0.9	12.8	12.0	12.5	13.5			13.0											
Max Temp (deg C)	2010	12	3	4	0.9	3.3	3.5	3.5	3.0			3.5											
Max Temp (deg C)	2010	12	4	4	0.9	-1.4	-1.0	-1.0	-2.0			-1.0											
Max Temp (deg C)	2010	12	5	4	0.9	-3.2	-3.0	-3.5	-3.0			-3.0											
Max Temp (deg C)	2010	12	6	4	0.87	-3.6	-3.0	-3.0	-4.0		-4.0												
Max Temp (deg C)	2010	12	7	4	0.9	-4.7	-4.5	-4.5	-5.0			-4.0											
Max Temp (deg C)	2010	12	8	4	0.87	-7.6	-7.0	-7.0	-8.0		-8.0												
Max Temp (deg C)	2010	12	9	4	0.87	-9.6	-9.0	-8.0	-10.0		-10.5												
