"Station Name","MARIEVILLE"
"Province","QUEBEC"
"Latitude","45.40"
"Longitude","-73.13"
"Elevation","38.00"
"Climate Identifier","7024627"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1986-01-01","1986","01","01","","0.0","","-12.5","","-6.3","","24.3","","0.0","","0.0","","0.5","","0.5","","11","","","","",""
"1986-01-02","1986","01","02","","-2.5","","-13.0","","-7.8","","25.8","","0.0","","0.0","","3.5","","3.5","","12","","","","",""
"1986-01-03","1986","01","03","","-8.5","","-14.5","","-11.5","","29.5","","0.0","","0.0","","7.5","","7.5","","11","","","","",""
"1986-01-04","1986","01","04","","-8.0","","-20.5","","-14.3","","32.3","","0.0","","0.0","","5.0","","5.0","","13","","","","",""
"1986-01-05","1986","01","05","","-3.0","","-18.0","","-10.5","","28.5","","0.0","","0.0","","5.0","","5.0","","19","","","","",""
"1986-01-06","1986","01","06","","-7.0","","-15.5","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"1986-01-07","1986","01","07","","-12.0","","-24.5","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1986-01-08","1986","01","08","","-4.5","","-23.0","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"1986-01-09","1986","01","09","","1.0","","-19.0","","-9.0","","27.0","","0.0","","0.0","","1.5","","1.5","","14","","","","",""
"1986-01-10","1986","01","10","","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","1.0","","1.0","","15","","","","",""
"1986-01-11","1986","01","11","","0.0","","-20.0","","-10.0","","28.0","","0.0","","0.5","","0.0","","0.5","","14","","","","",""
"1986-01-12","1986","01","12","","4.5","","-5.0","","-0.3","","18.3","","0.0","","0.0","","3.0","","3.0","","13","","","","",""
"1986-01-13","1986","01","13","","-8.5","","-13.0","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","19","","","","",""
"1986-01-14","1986","01","14","","-19.5","","-27.0","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"1986-01-15","1986","01","15","","-13.0","","-26.0","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"1986-01-16","1986","01","16","","-2.5","","-23.0","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"1986-01-17","1986","01","17","","4.5","","-14.5","","-5.0","","23.0","","0.0","","0.6","E","0.0","E","0.6","E","16","","","","",""
"1986-01-18","1986","01","18","","4.5","","-2.5","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1986-01-19","1986","01","19","","6.0","","1.0","","3.5","","14.5","","0.0","","16.4","","0.0","","16.4","","8","","","","",""
"1986-01-20","1986","01","20","","2.0","","0.0","","1.0","","17.0","","0.0","","15.4","","4.5","","19.9","","0","","","","",""
