Well_ID	Time (days)	Obs. (mbgs)
PO01	40623.5416666667	1.43
PO01	40842.5416666667	1.6
PO01	41065.5416666667	1.57
PO01	41240.6875	2.02
PO01	41401.7013888889	1.8
PO01	41584.6458333333	1.76
PO02A	40847.2916666667	3.32
PO02A	41066.2916666667	3.34
PO02A	41240.8125	3.75
PO02A	41402.34375	3.56
PO02A	41585.4583333333	3.38
PO02B	40847.7916666667	1.5
PO02B	41066.2916666667	1.65
PO02B	41240.8125	2.08
PO02B	41402.3472222222	1.91
PO02B	41585.4583333333	1.77
PO03	40623.5416666667	3.29
PO03	40843.5416666667	3.48
PO03	41065.2916666667	3.47
PO03	41241.5972222222	3.68
PO03	41401.5833333333	3.69
PO03	41584.4652777778	3.67
PO04	40624.5416666667	5.62
PO04	40840.5416666667	6.4
PO04	41066.7916666667	6.67
PO04	41240.4097222222	7.14
PO04	41401.7916666667	6.65
PO04	41585.3993055556	6.79
PO05	40623.5416666667	1.3
PO05	40842.5416666667	1.23
PO05	41065.5416666667	1.66
PO05	41240.625	1.975
PO05	41402.5	1.975
PO05	41478.7708333333	1.885
PO06	40624.5416666667	0.809
PO06	40840.5416666667	1.665
PO06	41065.5416666667	3.005
PO06	41241.5416666667	2.555
PO06	41401.4305555556	2.015
PO06	41585.7569444444	6.255
PO07	40623.5416666667	1.54
PO07	40842.5416666667	2
PO07	41065.5416666667	2.01
PO07	41240.5520833333	2.98
PO07	41402.78125	2.35
PO07	41584.7395833333	2.4
PO08	40623.5416666667	11.6
PO08	40843.5416666667	12.1
PO08	41066.5416666667	12.14
PO08	41101.5416666667	12.6
PO08	41241.6354166667	12.83
PO08	41401.65625	11.92
PO08	41584.5625	12.65
PO09	40624.5416666667	0.9
PO09	40840.5416666667	0.98
PO09	41066.5416666667	1.05
PO09	41241.4722222222	1.27
PO09	41401.5833333333	1.16
PO09	41585.6770833333	0.92
PO10	40624.2916666667	10.56
PO10	40841.5416666667	9.77
PO10	41066.7916666667	10.47
PO10	41240.7222222222	11.09
PO10	41402.4131944445	10.72
PO10	41479.6041666667	11.31
PO11	40840.2916666667	-1.18
PO11	41066.5416666667	-1.18
PO12	40623.5416666667	6.71
PO12	40842.2916666667	6.72
PO12	41066.5416666667	6.69
PO12	41240.4513888889	6.855
PO12	41400.7083333333	7
PO12	41478.5625	7.11
PO13	40623.5208333333	2.21
PO13	40842.3541666667	2
PO13	41065.7291666667	1.9
PO13	41241.75	2.09
PO13	41401.7222222222	2.13
PO13	41584.6875	1.92
PO14A	40843.5416666667	1.27
PO14A	41065.5	1.23
PO14A	41241.5729166667	1.83
PO14A	41401.5138888889	1.595
PO14A	41584.3888888889	1.35
PO14B	40843.5416666667	4.84
PO14B	41065.5	4.93
PO14B	41241.5729166667	5.4
PO14B	41401.5243055556	5.08
PO14B	41584.3888888889	5.12
PO15	40840.2916666667	3.13
PO15	41065.2916666667	3.19
PO15	41240.375	3.76
PO15	41401.46875	3.395
PO15	41585.3277777778	3.28
PO16A	40841.5416666667	0.96
PO16A	41065.7916666667	1.16
PO16A	41240.6979166667	1.34
PO16A	41479.5625	1.42
PO16B	40624.5416666667	0.82
PO16B	40841.5416666667	0.73
PO16B	41065.7916666667	0.98
PO16B	41240.6979166667	1.15
PO16B	41402.4444444445	1.15
PO16B	41479.5625	1.3
PO17	40623.5416666667	2.95
PO17	40710.3958333333	2.81
PO17	40842.5416666667	3.12
PO17	41065.5416666667	4.07
PO17	41240.6180555556	4
PO17	41402.5138888889	4.13
PO17	41478.7430555556	3.39
PO18A	40842.2916666667	9.76
PO18A	41065.2916666667	9.785
PO18A	41241.3333333333	10.255
PO18A	41402.3715277778	10.065
PO18A	41479.6458333333	10.215
PO18B	40841.5416666667	10.34
PO18B	41065.2916666667	10.4
PO18B	41241.3333333333	10.83
PO18B	41402.375	10.65
PO18B	41479.6458333333	10.86
PO19	40708.5833333333	1.93
PO19	40842.5416666667	1.74
PO19	41066.5416666667	2.125
PO19	41240.5	1.91
PO19	41400.6840277778	1.785
PO19	41478.6041666667	2.73
PO20	40841.2916666667	1.05
PO20	41066.2916666667	0.99
PO20	41240.7916666667	1.14
PO20	41400.7395833333	1.15
PO20	41585.5	1.01
PO21	40624.2916666667	18.81
PO21	40841.2916666667	18.28
PO21	41066.2916666667	18.54
PO21	41241.4166666667	19.08
PO21	41400.6666666667	19.08
PO21	41585.5972222222	19.2
PO22A	41066.5138888889	-0.18
PO22A	41241.375	0
PO22A	41400.7083333333	-0.22
PO22A	41585.5416666667	-0.29
PO22B	41066.5138888889	-0.28
PO22B	41241.375	-0.07
PO22B	41402.4131944445	-0.29
PO22B	41585.5416666667	-0.34
PO23	40623.5416666667	3.23
PO23	40842.5416666667	3.52
PO23	41065.5416666667	3.37
PO23	41240.59375	3.56
PO23	41402.5868055556	3.52
PO23	41478.7083333333	3.39
PO24	40840.5416666667	0.67
PO24	41066.5416666667	1
PO24	41241.4444444444	1.38
PO24	41400.625	1.14
PO24	41585.6402777778	1.03
PO25	41066.5416666667	2.77
PO25	41240.4305555556	2.95
PO25	41402.7395833333	2.91
