stationName	stationId	First_Year	Last_Year	Province
BRETON	1825	1961	2013	ALTA
AUTEUIL	5313	1983	2014	QUE
BEAUPORT	27803	1999	2013	QUE
BONSECOURS	5322	1967	2013	QUE
BROME	5325	1875	2013	QUE
BROMPTONVILLE	5327	1957	2013	QUE
DANVILLE	5345	1871	2013	QUE
DRUMMONDVILLE	5348	1913	2013	QUE
FARNHAM	5358	1917	2013	QUE
FLEURY	5361	1967	2013	QUE
GEORGEVILLE	5368	1951	2013	QUE
GRANBY	5369	1948	2013	QUE
HEMMINGFORD FOUR WINDS	5373	1960	2013	QUE
IBERVILLE	5376	1963	2013	QUE
MAGOG	5401	1948	2013	QUE
MARIEVILLE	5406	1960	2014	QUE
NICOLET	5426	1913	2013	QUE
PHILIPSBURG	5431	1950	2013	QUE
PIERREVILLE	5432	1980	2013	QUE
RICHMOND	5440	1971	2013	QUE
RIVIERE DES PRAIRIES	5441	1973	2013	QUE
SABREVOIS	5444	1975	2013	QUE
SOREL	5532	1914	2013	QUE
ST AMABLE	5447	1980	2013	QUE
ST BERNARD DE LACOLLE	5452	1973	2013	QUE
ST GUILLAUME	5486	1963	2013	QUE
ST HYACINTHE 2	5492	1963	2013	QUE
ST JACQUES	5274	1957	2013	QUE
ST JANVIER	5275	1973	2012	QUE
ST NAZAIRE	5506	1973	2013	QUE
STE MADELEINE	5501	1979	2013	QUE
STE MARTINE	5503	1963	2013	QUE
SUTTON	5538	1978	2013	QUE
VERCHERES	5564	1963	2013	QUE
