staName	stationId	StartYear	EndYear	Province	ClimateID	Proximity (km)
BRIGHAM	5323	1968	1972	QC	7020833	27.13
BRITANNIA MILLS	5324	1968	1975	QC	7020835	35.42
BROMONT	5326	1968	1978	QC	7020850	40.17
DUNHAM	5351	1968	1985	QC	7022246	36.74
FARNHAM	5358	1917	2014	QC	7022320	20.69
FARNHAM S	5359	1973	1974	QC	7022325	20.63
FLEURY	5361	1967	2014	QC	7022375	45.47
FRELIGHSBURG	10815	1993	2015	QC	7022579	46.01
GRANBY	5369	1948	2014	QC	7022800	32.07
IBERVILLE	5376	1963	2014	QC	7023270	12.7
ILE BOUCHARD	5228	1974	1975	QC	7013279	49.8
L'ACADIE	10843	1994	2015	QC	702LED4	21.69
LA PROVIDENCE	5390	1990	1991	QC	7024102	27.62
LA SALLE	5391	1973	1983	QC	7024118	39.62
LAC BROMONT	5383	1968	1973	QC	7023568	38.89
LAPRAIRIE	5389	1963	2014	QC	7024100	24.94
LAVAL DES RAPIDES	5394	1965	1976	QC	7024256	48.43
MARIEVILLE	5406	1960	2014	QC	7024627	1.06
MCTAVISH	10761	1994	2015	QC	7024745	38.33
MONT ST HILAIRE	5422	1976	1979	QC	7025328	20.99
MONT ST HILAIRE MCGILL	5424	1967	1974	QC	7025332	17.08
MONTREAL ICE CONTROL	5414	1967	1970	QC	7025245	31.08
MONTREAL INTL A	51157	2013	2015	QC	7025251	49.94
MONTREAL JAR BOT	5416	1948	1989	QC	7025257	38.89
MONTREAL JEAN BREBEUF	5417	1956	1985	QC	7025260	41
MONTREAL LAFONTAINE	5418	1971	1992	QC	7025267	37.79
MONTREAL MCGILL	5420	1871	1993	QC	7025280	38.46
MONTREAL-EST	26855	1994	2008	QC	7025252	43.22
MONTREAL/PIERRE ELLIOTT TRUDEAU INTL	30165	2002	2015	QC	702S006	49.96
MONTREAL/ST-HUBERT	48374	2009	2015	QC	7027329	26.97
MONTREAL/ST-HUBERT A	5490	1928	2014	QC	7027320	26.91
MONTREAL/ST-HUBERT A	30170	2005	2010	QC	7027322	26.91
PHILIPSBURG	5431	1950	2014	QC	7026040	40.85
RIVIERE DES PRAIRIES	5441	1973	2014	QC	7026612	45.02
ROUGEMONT	5442	1956	1985	QC	7026700	4.03
ROXTON FALLS	5443	1968	1982	QC	7026730	49.53
SABREVOIS	5444	1975	2014	QC	7026734	21.34
ST AMABLE	5447	1980	2014	QC	7026818	32.92
ST BERNARD DE LACOLLE	5452	1973	2014	QC	7026916	40.91
ST CONSTANT	5458	1973	1982	QC	7027085	36.96
ST FRANCOIS DE LAVAL	5302	1973	1985	QC	702G266	47.31
ST HYACINTHE	5491	1890	1979	QC	7027360	29.25
ST HYACINTHE 2	5492	1963	2014	QC	7027361	24.59
ST MATHIEU LAPRAIRIE	5505	1948	1982	QC	7027560	33.27
ST REMI	5511	1963	1991	QC	7027690	40.22
ST VALERIEN	5520	1968	1994	QC	7027772	40.53
STE BRIGIDE	5453	1977	1982	QC	7026918	10.18
STE MADELEINE	5501	1979	2014	QC	7027517	24.1
STE ROSALIE	5513	1968	1982	QC	7027718	31.4
SUTTON JONCTION	5539	1963	1985	QC	7028295	47.52
UPTON	5543	1968	1982	QC	7028570	44.49
VARENNES	26856	1994	2015	QC	702327X	41.31
VERCHERES	5564	1963	2014	QC	7028700	45.24
WARDEN	5567	1968	1991	QC	7028890	49.25
