Station Name	AUTEUIL
Province	QUEBEC
Latitude	45.65
Longitude	-73.73
Elevation	53.0
Climate Identifier	7020392

Created by	Rainbird Beta 4.0.2
Created on	08/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	4
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	2000/01/01
Date End	2013/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		RIVIERE DES PRAIRIES	VERCHERES	ST JACQUES	ST JANVIER	STE MADELEINE	FLEURY	MARIEVILLE	ST AMABLE	SOREL	PIERREVILLE	STE MARTINE	ST GUILLAUME	ST HYACINTHE 2	ST BERNARD DE LACOLLE	PHILIPSBURG	ST NAZAIRE	SABREVOIS
Max Temp (deg C)	762 (14.9 % of total)	762 (100.0 % of missing)		4.0	1.20		728 (95.5 % of filled)	699 (91.7 % of filled)	586 (76.9 % of filled)	439 (57.6 % of filled)	47 (6.2 % of filled)	332 (43.6 % of filled)	0 (0.0 % of filled)	1 (0.1 % of filled)	208 (27.3 % of filled)	4 (0.5 % of filled)	0 (0.0 % of filled)	2 (0.3 % of filled)	1 (0.1 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	1 (0.1 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	564 (11.0 % of total)	564 (100.0 % of missing)		4.0	1.33		499 (88.5 % of filled)	494 (87.6 % of filled)	378 (67.0 % of filled)	0 (0.0 % of filled)	255 (45.2 % of filled)	88 (15.6 % of filled)	506 (89.7 % of filled)	0 (0.0 % of filled)	5 (0.9 % of filled)	13 (2.3 % of filled)	18 (3.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	979 (19.1 % of total)	979 (100.0 % of missing)		4.0	0.95		881 (90.0 % of filled)	856 (87.4 % of filled)	672 (68.6 % of filled)	473 (48.3 % of filled)	503 (51.4 % of filled)	325 (33.2 % of filled)	6 (0.6 % of filled)	1 (0.1 % of filled)	151 (15.4 % of filled)	31 (3.2 % of filled)	4 (0.4 % of filled)	8 (0.8 % of filled)	1 (0.1 % of filled)	2 (0.2 % of filled)	1 (0.1 % of filled)	0 (0.0 % of filled)	1 (0.1 % of filled)
Total Precip (mm)	404 (7.9 % of total)	404 (100.0 % of missing)		4.0	3.68		390 (96.5 % of filled)	377 (93.3 % of filled)	150 (37.1 % of filled)	216 (53.5 % of filled)	76 (18.8 % of filled)	2 (0.5 % of filled)	0 (0.0 % of filled)	386 (95.5 % of filled)	14 (3.5 % of filled)	0 (0.0 % of filled)	1 (0.2 % of filled)	2 (0.5 % of filled)	2 (0.5 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)

TOTAL	2709 (13.2 % of total)	2709 (100.0 % of missing)		---	---		2498 (92.2 % of filled)	2426 (89.6 % of filled)	1786 (65.9 % of filled)	1128 (41.6 % of filled)	881 (32.5 % of filled)	747 (27.6 % of filled)	512 (18.9 % of filled)	388 (14.3 % of filled)	378 (14.0 % of filled)	48 (1.8 % of filled)	23 (0.8 % of filled)	12 (0.4 % of filled)	4 (0.1 % of filled)	2 (0.1 % of filled)	1 (0.0 % of filled)	1 (0.0 % of filled)	1 (0.0 % of filled)


*** DETAILED REPORT ***

