Station Name	AUTEUIL					
Province	QUEBEC					
Latitude	45.65					
Longitude	-73.73					
Elevation	53					
Climate Identifier	7020392					
						
Created by	Rainbird Beta 4.0.2					
Created on	08/12/2014					
						
Year	Month	Day	Max Temp (deg C)	Min Temp (deg C)	Mean Temp (deg C)	Total Precip (mm)
2000	1	1	-1	-15.5	-8.3	0
2000	1	2	3	-5.5	-1.3	1
2000	1	3	1	-4.5	-1.8	4
2000	1	4	6	-6.5	-0.3	8
2000	1	5	-8	-12	-10	0
2000	1	6	-0.5	-15	-7.8	0
2000	1	7	1	-10	-4.5	4
2000	1	8	-3	-12	-7.5	0
2000	1	9	3	-7	-2	0
2000	1	10	4	-1	1.5	20
2000	1	11	4	0	2	0
2000	1	12	-4.5	-7.5	-6	0
2000	1	13	-12	-16.5	-14.3	0
2000	1	14	-15	-22	-18.5	0
2000	1	15	-6	-26	-16	8
2000	1	16	-5	-25	-15	7
2000	1	17	-17	-28	-22.5	0
2000	1	18	-18	-27.5	-22.8	0
2000	1	19	-14.5	-27	-20.8	0
2000	1	20	-12	-19	-15.5	3
2000	1	21	-15	-19	-17	0
2000	1	22	-19	-25	-22	0
2000	1	23	-13	-26.5	-19.8	3
2000	1	24	-3.5	-19	-11.3	2
2000	1	25	-6.5	-17	-11.8	9
2000	1	26	-5	-8.5	-6.8	1
2000	1	27	-13	-19	-16	0
2000	1	28	-13	-20	-16.5	0
2000	1	29	-7.5	-20.5	-14	0
2000	1	30	-1.5	-15	-8.3	5
2000	1	31	-1	-10	-5.5	5
2000	2	1	-1	-8	-4.5	1
2000	2	2	-12	-16	-14	0
2000	2	3	-10	-22.5	-16.3	0
2000	2	4	-8.5	-23	-15.8	0
2000	2	5	-7.5	-21	-14.3	0
2000	2	6	-2.5	-15.5	-9	1
2000	2	7	-3	-12	-7.5	0
2000	2	8	-5	-21	-13	0
2000	2	9	0.5	-9	-4.3	2
2000	2	10	-9	-17.5	-13.3	15
2000	2	11	-4	-12	-8	1.7
2000	2	12	-11	-22	-16.5	0
2000	2	13	-7	-21	-14	17
