Station Name	SASKATOON DIEFENBAKER & RCS
Province	SASKATCHEWAN
Latitude	52.17
Longitude	-106.72
Elevation	504.1
Climate Identifier	4057120

Created by	Rainbird Beta 3.1.2
Created on	20/11/2014

*** FILL PROCEDURE INFO ***

MLR model	Ordinary Least Square
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	4
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1980/01/01
Date End	2014/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	STRONGFIELD	BEAVER CREEK	CUTBANK	SASKATOON CENTRAL AVE	GLENSIDE	MARTENSVILLE	SASKATOON 2	GRASSWOOD
Max Temp (deg C)	96 (0.8 % of total)	52 (54.2 % of missing)		1.9	1.50		30 (57.7 % of filled)	26 (50.0 % of filled)	21 (40.4 % of filled)	10 (19.2 % of filled)	3 (5.8 % of filled)	7 (13.5 % of filled)	0 (0.0 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)	1 (1.9 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	73 (0.6 % of total)	30 (41.1 % of missing)		2.5	1.94		12 (40.0 % of filled)	23 (76.7 % of filled)	17 (56.7 % of filled)	10 (33.3 % of filled)	6 (20.0 % of filled)	4 (13.3 % of filled)	0 (0.0 % of filled)	1 (3.3 % of filled)	0 (0.0 % of filled)	1 (3.3 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	96 (0.8 % of total)	52 (54.2 % of missing)		1.9	1.29		30 (57.7 % of filled)	27 (51.9 % of filled)	21 (40.4 % of filled)	10 (19.2 % of filled)	3 (5.8 % of filled)	7 (13.5 % of filled)	0 (0.0 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	112 (0.9 % of total)	63 (56.3 % of missing)		1.9	4.45		38 (60.3 % of filled)	21 (33.3 % of filled)	29 (46.0 % of filled)	7 (11.1 % of filled)	10 (15.9 % of filled)	0 (0.0 % of filled)	8 (12.7 % of filled)	1 (1.6 % of filled)	3 (4.8 % of filled)	0 (0.0 % of filled)	1 (1.6 % of filled)	1 (1.6 % of filled)

TOTAL	377 (0.7 % of total)	197 (52.3 % of missing)		---	---		110 (55.8 % of filled)	97 (49.2 % of filled)	88 (44.7 % of filled)	37 (18.8 % of filled)	22 (11.2 % of filled)	18 (9.1 % of filled)	8 (4.1 % of filled)	4 (2.0 % of filled)	3 (1.5 % of filled)	3 (1.5 % of filled)	2 (1.0 % of filled)	1 (0.5 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON DIEFENBAKER & RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	STRONGFIELD	BEAVER CREEK	CUTBANK	SASKATOON CENTRAL AVE	GLENSIDE	MARTENSVILLE	SASKATOON 2	GRASSWOOD
Max Temp (deg C)	1983	6	30	4	0.92	22.2			22.0					23.0		22.5	23.5	
Max Temp (deg C)	1992	12	1	4	1.04	-1.6		-1.5	-1.5	-1.0	-2.0							
Max Temp (deg C)	1992	12	4	4	1.04	-5.5		-5.0	-5.5	-6.0	-1.0							
Max Temp (deg C)	1992	12	11	4	1.59	-5.8		-4.5	-5.5	-5.0		-5.0						
Max Temp (deg C)	1992	12	18	4	1.59	-22.4		-20.0	-21.5	-22.0		-21.5						
Max Temp (deg C)	1992	12	24	4	1.59	-11.4		-14.0	-10.5	-7.0		-11.5						
Max Temp (deg C)	1992	12	25	4	1.59	-16.4		-16.0	-13.5	-18.0		-16.5						
Max Temp (deg C)	1992	12	27	4	1.59	-28.4		-26.5	-28.0	-26.0		-27.0						
Max Temp (deg C)	1992	12	29	4	1.59	-30.1		-28.0	-29.0	-29.0		-29.0						
Max Temp (deg C)	1992	12	30	4	1.59	-34.2		-31.0	-33.5	-33.0		-32.5						
Max Temp (deg C)	1992	12	31	4	1.04	-31.8		-31.0	-31.5	-34.0	-32.0							
Max Temp (deg C)	2007	7	2	2	0.95	27.4		31.0	27.2									
Max Temp (deg C)	2007	7	3	2	0.95	28.4		30.0	28.4									
Max Temp (deg C)	2007	7	19	2	0.95	29.5		32.5	29.4									
Max Temp (deg C)	2007	7	23	2	0.95	37.1		39.0	37.1									
Max Temp (deg C)	2007	8	18	2	0.95	18.9		19.5	19.0									
Max Temp (deg C)	2007	8	19	2	0.95	21.7		22.0	21.8									
Max Temp (deg C)	2007	8	20	2	0.95	19.6		19.5	19.8									
Max Temp (deg C)	2007	8	21	2	0.95	20.1		21.0	20.2									
Max Temp (deg C)	2007	11	6	2	0.95	5.7		6.0	5.9									
Max Temp (deg C)	2007	11	7	1	0.96	2.5			2.6									
Max Temp (deg C)	2007	12	18	nan	nan	nan												
Max Temp (deg C)	2007	12	19	1	1.93	-5.4		-4.5										
Max Temp (deg C)	2008	4	18	2	1.58	10.5	11.0	12.5										
Max Temp (deg C)	2008	4	19	2	1.58	0.9	1.7	2.5										
Max Temp (deg C)	2008	4	20	2	1.58	5.6	6.4	7.0										
Max Temp (deg C)	2008	4	21	2	1.58	-4.5	-3.3	-4.0										
Max Temp (deg C)	2008	9	10	1	1.75	15.7	16.3											
Max Temp (deg C)	2008	9	11	1	1.75	23.9	24.4											
Max Temp (deg C)	2008	10	31	2	1.58	11.5	12.1	13.0										
Max Temp (deg C)	2008	11	30	1	1.75	2.8	3.5											
Max Temp (deg C)	2008	12	1	2	1.58	8.0	9.5	6.5										
Max Temp (deg C)	2009	5	6	1	1.75	11.7	12.3											
Max Temp (deg C)	2009	7	2	1	1.75	23.9	24.4											
Max Temp (deg C)	2009	11	3	1	1.75	3.4	4.1											
Max Temp (deg C)	2010	6	29	1	1.75	28.9	29.4											
Max Temp (deg C)	2010	9	13	1	1.75	10.7	11.4											
Max Temp (deg C)	2011	4	27	1	1.75	16.4	17.0											
Max Temp (deg C)	2011	7	26	1	1.75	23.2	23.7											
Max Temp (deg C)	2011	8	26	1	1.75	23.0	23.5											
Max Temp (deg C)	2011	8	27	1	1.75	25.3	25.8											
Max Temp (deg C)	2011	8	28	1	1.75	28.2	28.7											
Max Temp (deg C)	2011	8	29	1	1.75	29.7	30.2											
Max Temp (deg C)	2011	10	12	1	1.75	13.2	13.8											
Max Temp (deg C)	2012	4	11	1	1.75	13.4	14.0											
Max Temp (deg C)	2012	9	26	1	1.75	22.2	22.7											
Max Temp (deg C)	2013	6	24	1	1.75	23.5	24.0											
Max Temp (deg C)	2013	8	20	1	1.75	22.6	23.1											
Max Temp (deg C)	2013	8	21	1	1.75	22.6	23.1											
Max Temp (deg C)	2013	10	31	1	1.75	9.0	9.7											
Max Temp (deg C)	2014	6	3	1	1.75	24.0	24.5											
Max Temp (deg C)	2014	11	5	1	1.75	7.3	8.0											
Max Temp (deg C)	2014	11	12	1	1.75	-10.4	-9.5											
Max Temp (deg C)	2014	11	19	nan	nan	nan												
Max Temp (deg C)	2014	11	20	nan	nan	nan												
Max Temp (deg C)	2014	11	21	nan	nan	nan												
Max Temp (deg C)	2014	11	22	nan	nan	nan												
Max Temp (deg C)	2014	11	23	nan	nan	nan												
Max Temp (deg C)	2014	11	24	nan	nan	nan												
Max Temp (deg C)	2014	11	25	nan	nan	nan												
Max Temp (deg C)	2014	11	26	nan	nan	nan												
Max Temp (deg C)	2014	11	27	nan	nan	nan												
Max Temp (deg C)	2014	11	28	nan	nan	nan												
Max Temp (deg C)	2014	11	29	nan	nan	nan												
Max Temp (deg C)	2014	11	30	nan	nan	nan												
Max Temp (deg C)	2014	12	1	nan	nan	nan												
Max Temp (deg C)	2014	12	2	nan	nan	nan												
Max Temp (deg C)	2014	12	3	nan	nan	nan												
Max Temp (deg C)	2014	12	4	nan	nan	nan												
Max Temp (deg C)	2014	12	5	nan	nan	nan												
Max Temp (deg C)	2014	12	6	nan	nan	nan												
Max Temp (deg C)	2014	12	7	nan	nan	nan												
Max Temp (deg C)	2014	12	8	nan	nan	nan												
Max Temp (deg C)	2014	12	9	nan	nan	nan												
Max Temp (deg C)	2014	12	10	nan	nan	nan												
Max Temp (deg C)	2014	12	11	nan	nan	nan												
Max Temp (deg C)	2014	12	12	nan	nan	nan												
Max Temp (deg C)	2014	12	13	nan	nan	nan												
Max Temp (deg C)	2014	12	14	nan	nan	nan												
Max Temp (deg C)	2014	12	15	nan	nan	nan												
Max Temp (deg C)	2014	12	16	nan	nan	nan												
Max Temp (deg C)	2014	12	17	nan	nan	nan												
Max Temp (deg C)	2014	12	18	nan	nan	nan												
Max Temp (deg C)	2014	12	19	nan	nan	nan												
Max Temp (deg C)	2014	12	20	nan	nan	nan												
Max Temp (deg C)	2014	12	21	nan	nan	nan												
Max Temp (deg C)	2014	12	22	nan	nan	nan												
Max Temp (deg C)	2014	12	23	nan	nan	nan												
Max Temp (deg C)	2014	12	24	nan	nan	nan												
Max Temp (deg C)	2014	12	25	nan	nan	nan												
Max Temp (deg C)	2014	12	26	nan	nan	nan												
Max Temp (deg C)	2014	12	27	nan	nan	nan												
Max Temp (deg C)	2014	12	28	nan	nan	nan												
Max Temp (deg C)	2014	12	29	nan	nan	nan												
Max Temp (deg C)	2014	12	30	nan	nan	nan												
Max Temp (deg C)	2014	12	31	nan	nan	nan												
Min Temp (deg C)	1983	6	30	4	1.59	14.3		15.5	14.0					15.0		13.0		
Min Temp (deg C)	1992	12	1	4	1.57	-7.2		-6.0	-7.0	-8.0	-7.0							
Min Temp (deg C)	1992	12	4	4	1.57	-23.4		-20.5	-23.5	-26.0	-24.0							
Min Temp (deg C)	1992	12	11	4	1.57	-17.5		-15.0	-18.5	-13.0	-10.0							
Min Temp (deg C)	1992	12	18	4	1.9	-25.5		-23.5	-23.5	-25.0		-23.5						
Min Temp (deg C)	1992	12	24	4	1.9	-27.1		-23.0	-30.0	-24.0		-31.5						
Min Temp (deg C)	1992	12	25	4	1.9	-26.4		-23.5	-25.0	-26.5		-25.0						
Min Temp (deg C)	1992	12	27	4	1.9	-32.0		-31.0	-28.0	-31.0		-27.5						
Min Temp (deg C)	1992	12	29	4	1.57	-35.3		-32.5	-35.5	-33.5	-33.0							
Min Temp (deg C)	1992	12	30	4	1.57	-39.1		-37.0	-38.5	-41.5	-39.0							
Min Temp (deg C)	1992	12	31	4	1.57	-40.8		-39.0	-40.0	-44.0	-41.0							
Min Temp (deg C)	2007	7	3	2	1.69	13.2		15.5	13.6									
Min Temp (deg C)	2007	8	18	2	1.69	11.4		13.0	12.1									
Min Temp (deg C)	2007	8	19	2	1.69	13.0		14.0	14.0									
Min Temp (deg C)	2007	8	20	2	1.69	13.3		16.0	13.5									
Min Temp (deg C)	2007	8	21	2	1.69	11.8		12.0	13.1									
Min Temp (deg C)	2007	11	7	2	1.69	-7.0		-8.0	-4.9									
Min Temp (deg C)	2007	12	19	1	2.28	-19.2		-17.0										
Min Temp (deg C)	2008	4	18	2	2.19	-1.6	-1.5	3.0										
Min Temp (deg C)	2008	4	19	2	2.19	-6.6	-4.8	-5.0										
Min Temp (deg C)	2008	4	20	2	2.19	-7.1	-7.5	-1.0										
Min Temp (deg C)	2008	4	21	2	2.19	-11.7	-10.2	-9.0										
Min Temp (deg C)	2008	9	11	1	2.31	2.7	3.7											
Min Temp (deg C)	2008	11	30	1	2.31	-9.8	-8.3											
Min Temp (deg C)	2008	12	1	2	2.19	-9.6	-8.7	-6.0										
Min Temp (deg C)	2011	8	27	1	2.31	8.2	9.0											
