Station Name	SASKATOON DIEFENBAKER & RCS					
Province	SASKATCHEWAN					
Latitude	52.17					
Longitude	-106.72					
Elevation	504.1					
Climate Identifier	4057120					
						
Created by	Rainbird Beta 3.1.2					
Created on	20/11/2014					
						
Year	Month	Day	Max Temp (deg C)	Min Temp (deg C)	Mean Temp (deg C)	Total Precip (mm)
1980	1	1	-8.6	-15.4	-12	0
1980	1	2	-13.7	-20.2	-17	0
1980	1	3	-9	-14.5	-11.8	5.8
1980	1	4	-13.6	-24.6	-19.1	0.2
1980	1	5	-18.7	-26.3	-22.5	0
1980	1	6	-20.1	-27.4	-23.8	0
1980	1	7	-26.2	-33	-29.6	0.8
1980	1	8	-28.2	-34	-31.1	0
1980	1	9	-27.6	-35.5	-31.6	0.2
1980	1	10	-24	-35.6	-29.8	3.6
1980	1	11	-23.8	-33.1	-28.5	1
1980	1	12	-6.3	-25.5	-15.9	0.2
1980	1	13	-9.6	-21.3	-15.5	0
1980	1	14	-5.4	-19.4	-12.4	0
1980	1	15	-2.5	-14.5	-8.5	1
1980	1	16	-2.7	-13.4	-8.1	0
1980	1	17	-3.9	-12.2	-8.1	5.2
1980	1	18	-3.9	-17.4	-10.7	0
1980	1	19	-11.4	-17.7	-14.6	0
1980	1	20	-6.7	-16.3	-11.5	0
1980	1	21	-1.2	-12.5	-6.9	0.4
1980	1	22	-9.3	-17	-13.2	0
1980	1	23	5.2	-11.9	-3.4	0
1980	1	24	2.9	-19.1	-8.1	1
1980	1	25	-18.6	-23.1	-20.9	0.2
1980	1	26	-20	-22	-21	2.6
1980	1	27	-20.9	-28.8	-24.9	1
1980	1	28	-22.3	-31.1	-26.7	0.2
1980	1	29	-22.3	-33.1	-27.7	0
1980	1	30	-18.4	-27.6	-23	0
1980	1	31	-16.5	-27.8	-22.2	0
1980	2	1	-9.8	-16.6	-13.2	0
1980	2	2	-7.9	-15.6	-11.8	0
1980	2	3	-0.2	-11.8	-6	0.6
1980	2	4	-1	-12	-6.5	0
1980	2	5	-3.5	-13.4	-8.5	0
1980	2	6	-10.4	-20	-15.2	0
1980	2	7	-10.2	-13.1	-11.7	0.4
1980	2	8	-3.3	-13.4	-8.4	0
1980	2	9	2.3	-11.1	-4.4	0
1980	2	10	-9.1	-18.5	-13.8	0
1980	2	11	-8.2	-24.2	-16.2	0
1980	2	12	-8.7	-18.1	-13.4	0
1980	2	13	-14.1	-20.7	-17.4	1
1980	2	14	-12.9	-19.7	-16.3	0.2
1980	2	15	-13.5	-22.6	-18.1	0
1980	2	16	-13	-25.6	-19.3	0
1980	2	17	-10.6	-23	-16.8	0
1980	2	18	-11.4	-19.3	-15.4	0
1980	2	19	-13.3	-17.1	-15.2	1
1980	2	20	-13.7	-16.5	-15.1	2.1
1980	2	21	-12.5	-15.1	-13.8	2.4
1980	2	22	-11.9	-22.7	-17.3	0.4
1980	2	23	-5	-17.4	-11.2	0.4
1980	2	24	-9.4	-21.2	-15.3	0.6
1980	2	25	-6.8	-24.4	-15.6	0
1980	2	26	-5	-15.5	-10.3	0
1980	2	27	-7.3	-11.9	-9.6	5.2
1980	2	28	-11.8	-25.5	-18.7	0
1980	2	29	-17.2	-30.2	-23.7	0
1980	3	1	-4	-17.9	-11	0.6
1980	3	2	-4.3	-13.5	-8.9	2.5
1980	3	3	-13.3	-24.4	-18.9	0.6
1980	3	4	-14.8	-30.6	-22.7	0
1980	3	5	-13.4	-26.5	-20	0
1980	3	6	-12.9	-26.3	-19.6	0
1980	3	7	-7.6	-20.4	-14	0
1980	3	8	-4.9	-17.8	-11.4	0.4
1980	3	9	-7.9	-23.9	-15.9	1
1980	3	10	-13.3	-29.2	-21.3	0
1980	3	11	-10.4	-18.4	-14.4	1.5
1980	3	12	-5.1	-19.1	-12.1	0.4
1980	3	13	-11.5	-22.4	-17	0
1980	3	14	-6.9	-22.3	-14.6	0
1980	3	15	-7	-15.8	-11.4	0.2
1980	3	16	-5.3	-20.5	-12.9	0
1980	3	17	-3	-19.2	-11.1	0
1980	3	18	-0.8	-8.2	-4.5	0
1980	3	19	-0.2	-8.6	-4.4	0.8
1980	3	20	0.3	-8.8	-4.3	0
1980	3	21	0.9	-5.6	-2.4	2.8
1980	3	22	-2.6	-6.4	-4.5	0.2
1980	3	23	1.3	-6	-2.4	0
1980	3	24	0.2	-3.5	-1.7	3.4
1980	3	25	-0.8	-11.1	-6	0
1980	3	26	-0.2	-15.4	-7.8	0
1980	3	27	2.3	-7.2	-2.5	0
1980	3	28	5	-7.5	-1.3	0
1980	3	29	5	-1.5	1.8	0
1980	3	30	3.5	-0.6	1.5	0
1980	3	31	2	-5.7	-1.9	0
1980	4	1	3.3	-7.2	-2	0
1980	4	2	5.7	-3.3	1.2	0
1980	4	3	8.3	-2.9	2.7	0
1980	4	4	9.7	-1.4	4.2	0
1980	4	5	10.3	0.3	5.3	0
1980	4	6	0.4	-4.4	-2	0
1980	4	7	-1.9	-4.4	-3.2	4.5
1980	4	8	1.9	-2.6	-0.4	0.8
1980	4	9	4.8	-6.1	-0.7	0
1980	4	10	6.4	-4.5	1	0
1980	4	11	10.8	-0.3	5.3	0
1980	4	12	14.7	-0.7	7	0
1980	4	13	20.6	2.3	11.5	0
1980	4	14	13	4.2	8.6	0
1980	4	15	14.2	5.6	9.9	0
1980	4	16	18.6	4	11.3	0.2
1980	4	17	22.5	4.4	13.5	0
1980	4	18	21.3	6.6	14	0
1980	4	19	24.7	6.1	15.4	0
1980	4	20	29.7	8.3	19	0
1980	4	21	18.8	5.3	12.1	0
1980	4	22	17	-0.9	8.1	0
1980	4	23	21.4	7.4	14.4	0
1980	4	24	23.3	7.8	15.6	0
1980	4	25	24	5	14.5	0
1980	4	26	24.5	4.8	14.7	0
1980	4	27	24.6	8	16.3	0
1980	4	28	27.9	9.8	18.9	0
1980	4	29	29.7	14.4	22.1	0
1980	4	30	25.5	6.7	16.1	0
1980	5	1	24.8	5.2	15	0
1980	5	2	29.6	7.2	18.4	0
1980	5	3	25.6	9	17.3	0
1980	5	4	21.1	1.6	11.4	0
1980	5	5	17	4.5	10.8	0
1980	5	6	12.8	0.6	6.7	0
1980	5	7	13.7	-3.7	5	0
1980	5	8	15.3	1.2	8.3	0
1980	5	9	18.8	1.5	10.2	0
1980	5	10	13.6	-1.2	6.2	0
1980	5	11	14.6	-2.2	6.2	0
1980	5	12	14.9	0	7.5	0
