Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	1996	1	1	1	0.62	-12.4	-12.4			
Max Temp (deg C)	1996	1	2	1	0.62	-16.1	-16.1			
Max Temp (deg C)	1996	1	3	1	0.62	-18.0	-18.0			
Max Temp (deg C)	1996	1	4	1	0.62	-20.2	-20.2			
Max Temp (deg C)	1996	1	5	1	0.62	-21.4	-21.4			
Max Temp (deg C)	1996	1	6	1	0.62	-15.4	-15.4			
Max Temp (deg C)	1996	1	7	1	0.62	-16.6	-16.6			
Max Temp (deg C)	1996	1	8	1	0.62	-12.5	-12.5			
Max Temp (deg C)	1996	1	9	1	0.62	-11.9	-11.9			
Max Temp (deg C)	1996	1	10	1	0.62	-7.5	-7.5			
Max Temp (deg C)	1996	1	11	1	0.62	-11.0	-11.0			
Max Temp (deg C)	1996	1	12	1	0.62	-6.0	-6.0			
Max Temp (deg C)	1996	1	13	1	0.62	-5.1	-5.1			
Max Temp (deg C)	1996	1	14	1	0.62	-5.6	-5.6			
Max Temp (deg C)	1996	1	15	1	0.62	-15.3	-15.3			
Max Temp (deg C)	1996	1	16	1	0.62	-7.7	-7.7			
Max Temp (deg C)	1996	1	17	1	0.62	4.4	4.4			
Max Temp (deg C)	1996	1	18	1	0.62	2.1	2.1			
Max Temp (deg C)	1996	1	19	1	0.62	17.7	17.7			
Max Temp (deg C)	1996	1	20	1	0.62	-3.4	-3.4			
Max Temp (deg C)	1996	1	21	1	0.62	-9.3	-9.3			
Max Temp (deg C)	1996	1	22	1	0.62	-1.6	-1.6			
Max Temp (deg C)	1996	1	23	1	0.62	0.7	0.7			
Max Temp (deg C)	1996	1	24	1	0.62	3.3	3.3			
Max Temp (deg C)	1996	1	25	1	0.62	1.9	1.9			
Max Temp (deg C)	1996	1	26	1	0.62	-8.0	-8.0			
Max Temp (deg C)	1996	1	27	1	0.62	5.9	5.9			
Max Temp (deg C)	1996	1	28	1	0.62	-2.8	-2.8			
Max Temp (deg C)	1996	1	29	1	0.62	-10.3	-10.3			
Max Temp (deg C)	1996	1	30	1	0.62	-4.6	-4.6			
Max Temp (deg C)	1996	1	31	1	0.62	-13.3	-13.3			
Max Temp (deg C)	1996	2	1	1	0.62	-18.3	-18.3			
Max Temp (deg C)	1996	2	2	1	0.62	-10.3	-10.3			
Max Temp (deg C)	1996	2	3	1	0.62	-17.1	-17.1			
Max Temp (deg C)	1996	2	4	1	0.62	-16.9	-16.9			
Max Temp (deg C)	1996	2	5	1	0.62	-13.7	-13.7			
Max Temp (deg C)	1996	2	6	1	0.62	-10.9	-10.9			
Max Temp (deg C)	1996	2	7	1	0.62	-4.9	-4.9			
Max Temp (deg C)	1996	2	8	1	0.62	0.7	0.7			
Max Temp (deg C)	1996	2	9	1	0.62	1.4	1.4			
Max Temp (deg C)	1996	2	10	1	0.62	-3.2	-3.2			
Max Temp (deg C)	1996	2	11	1	0.62	-5.6	-5.6			
Max Temp (deg C)	1996	2	12	1	0.62	-8.2	-8.2			
Max Temp (deg C)	1996	2	13	1	0.62	-18.2	-18.2			
Max Temp (deg C)	1996	2	14	1	0.62	-11.1	-11.1			
Max Temp (deg C)	1996	2	15	1	0.62	-4.9	-4.9			
Max Temp (deg C)	1996	2	16	1	0.62	-6.4	-6.4			
Max Temp (deg C)	1996	2	17	1	0.62	-2.3	-2.3			
Max Temp (deg C)	1996	2	18	1	0.62	-10.7	-10.7			
Max Temp (deg C)	1996	2	19	1	0.62	-4.9	-4.9			
Max Temp (deg C)	1996	2	20	1	0.62	3.0	3.0			
Max Temp (deg C)	1996	2	21	1	0.62	4.3	4.3			
Max Temp (deg C)	1996	2	22	1	0.62	4.9	4.9			
Max Temp (deg C)	1996	2	23	1	0.62	3.0	3.0			
Max Temp (deg C)	1996	2	24	1	0.62	3.5	3.5			
Max Temp (deg C)	1996	2	25	1	0.62	5.1	5.1			
Max Temp (deg C)	1996	2	26	1	0.62	1.4	1.4			
Max Temp (deg C)	1996	2	27	1	0.62	-1.1	-1.1			
Max Temp (deg C)	1996	2	28	1	0.62	-2.5	-2.5			
Max Temp (deg C)	1996	2	29	1	0.62	-9.3	-9.3			
Max Temp (deg C)	1996	3	1	1	0.62	-3.6	-3.6			
Max Temp (deg C)	1996	3	2	1	0.62	1.2	1.2			
Max Temp (deg C)	1996	3	3	1	0.62	-1.0	-1.0			
Max Temp (deg C)	1996	3	4	1	0.62	-9.0	-9.0			
Max Temp (deg C)	1996	3	5	1	0.62	-5.1	-5.1			
Max Temp (deg C)	1996	3	6	1	0.62	-4.8	-4.8			
Max Temp (deg C)	1996	3	7	1	0.62	-7.0	-7.0			
Max Temp (deg C)	1996	3	8	1	0.62	-5.5	-5.5			
Max Temp (deg C)	1996	3	9	1	0.62	-8.4	-8.4			
Max Temp (deg C)	1996	3	10	1	0.62	-1.3	-1.3			
Max Temp (deg C)	1996	3	11	1	0.62	1.7	1.7			
Max Temp (deg C)	1996	3	12	1	0.62	4.7	4.7			
Max Temp (deg C)	1996	3	13	1	0.62	7.2	7.2			
Max Temp (deg C)	1996	3	14	1	0.62	9.7	9.7			
Max Temp (deg C)	1996	3	15	1	0.62	4.2	4.2			
Max Temp (deg C)	1996	3	16	1	0.62	0.4	0.4			
Max Temp (deg C)	1996	3	17	1	0.62	4.2	4.2			
Max Temp (deg C)	1996	3	18	1	0.62	3.2	3.2			
Max Temp (deg C)	1996	3	19	1	0.62	7.6	7.6			
Max Temp (deg C)	1996	3	20	1	0.62	1.8	1.8			
Max Temp (deg C)	1996	3	21	1	0.62	2.2	2.2			
Max Temp (deg C)	1996	3	22	1	0.62	2.5	2.5			
Max Temp (deg C)	1996	3	23	1	0.62	0.8	0.8			
Max Temp (deg C)	1996	3	24	1	0.62	3.1	3.1			
Max Temp (deg C)	1996	3	25	1	0.62	5.6	5.6			
Max Temp (deg C)	1996	3	26	1	0.62	6.0	6.0			
Max Temp (deg C)	1996	3	27	1	0.62	-4.6	-4.6			
Max Temp (deg C)	1996	3	28	1	0.62	-0.3	-0.3			
