Station Name	SASKATOON INT'L A and RCS
Province	SASKATCHEWAN
Latitude	52.17
Longitude	-106.72
Elevation	504.1
Climate Identifier	4057120

Created by	WHAT Beta 4.0.7
Created on	08/01/2015

*** FILL PROCEDURE INFO ***

MLR model	Ordinary Least Square
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	4
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1950/01/01
Date End	2014/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	BEAVER CREEK	SASKATOON CENTRAL AVE	SASKATOON 2	DUNDURN	GLENSIDE	SUTHERLAND	GRASSWOOD
Max Temp (deg C)	53 (0.2 % of total)	53 (100.0 % of missing)		2.1	1.72		45 (84.9 % of filled)	26 (49.1 % of filled)	21 (39.6 % of filled)	11 (20.8 % of filled)	7 (13.2 % of filled)	1 (1.9 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	31 (0.1 % of total)	31 (100.0 % of missing)		2.7	1.87		30 (96.8 % of filled)	23 (74.2 % of filled)	17 (54.8 % of filled)	10 (32.3 % of filled)	0 (0.0 % of filled)	1 (3.2 % of filled)	0 (0.0 % of filled)	2 (6.5 % of filled)	0 (0.0 % of filled)	1 (3.2 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	54 (0.2 % of total)	54 (100.0 % of missing)		2.1	1.35		46 (85.2 % of filled)	27 (50.0 % of filled)	21 (38.9 % of filled)	10 (18.5 % of filled)	7 (13.0 % of filled)	1 (1.9 % of filled)	1 (1.9 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)	1 (1.9 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	76 (0.3 % of total)	68 (89.5 % of missing)		2.1	3.63		54 (79.4 % of filled)	27 (39.7 % of filled)	36 (52.9 % of filled)	8 (11.8 % of filled)	0 (0.0 % of filled)	8 (11.8 % of filled)	8 (11.8 % of filled)	0 (0.0 % of filled)	3 (4.4 % of filled)	0 (0.0 % of filled)	1 (1.5 % of filled)

TOTAL	214 (0.2 % of total)	206 (96.3 % of missing)		---	---		175 (85.0 % of filled)	103 (50.0 % of filled)	95 (46.1 % of filled)	39 (18.9 % of filled)	14 (6.8 % of filled)	11 (5.3 % of filled)	10 (4.9 % of filled)	3 (1.5 % of filled)	3 (1.5 % of filled)	2 (1.0 % of filled)	1 (0.5 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	SASKATOON INT'L A and RCS	OUTLOOK PFRA	SASKATOON WATER TP	SASKATOON SRC	VANSCOY COMINCO	BEAVER CREEK	SASKATOON CENTRAL AVE	SASKATOON 2	DUNDURN	GLENSIDE	SUTHERLAND	GRASSWOOD
Max Temp (deg C)	1983	6	30	4	0.85	22.2			22.0	24.5		23.0	23.5				
Max Temp (deg C)	1992	12	1	4	0.99	-1.6	-1.5	-1.5	-1.5	-1.0							
Max Temp (deg C)	1992	12	4	4	0.99	-5.5	0.0	-5.0	-5.5	-6.0							
Max Temp (deg C)	1992	12	11	4	1.59	-5.8		-4.5	-5.5	-5.0	-5.0						
Max Temp (deg C)	1992	12	18	4	1.59	-22.4		-20.0	-21.5	-22.0	-21.5						
Max Temp (deg C)	1992	12	24	4	1.59	-11.4		-14.0	-10.5	-7.0	-11.5						
