Station Name	TORONTO LESTER B. PEARSON INT'L 
Province	ONTARIO
Latitude	43.68
Longitude	-79.63
Elevation	173.4
Climate Identifier	6158733

Created by	WHAT Beta 4.0.7
Created on	18/01/2015

*** FILL PROCEDURE INFO ***

MLR model	Ordinary Least Square
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	4
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1980/01/01
Date End	2010/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		TORONTO BUTTONVILLE A	TORONTO	RICHMOND HILL	TORONTO ISLAND A	GEORGETOWN WWTP	TORONTO MALVERN	BRAMPTON MOE	TORONTO ELLESMERE	WOODBRIDGE
Max Temp (deg C)	60 (0.5 % of total)	60 (100.0 % of missing)		4.0	0.84		60 (100.0 % of filled)	60 (100.0 % of filled)	60 (100.0 % of filled)	0 (0.0 % of filled)	32 (53.3 % of filled)	24 (40.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	4 (6.7 % of filled)
Min Temp (deg C)	60 (0.5 % of total)	60 (100.0 % of missing)		4.0	1.23		60 (100.0 % of filled)	36 (60.0 % of filled)	60 (100.0 % of filled)	60 (100.0 % of filled)	0 (0.0 % of filled)	24 (40.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	60 (0.5 % of total)	60 (100.0 % of missing)		4.0	0.78		60 (100.0 % of filled)	60 (100.0 % of filled)	60 (100.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	24 (40.0 % of filled)	23 (38.3 % of filled)	9 (15.0 % of filled)	4 (6.7 % of filled)
Total Precip (mm)	60 (0.5 % of total)	60 (100.0 % of missing)		4.0	2.79		60 (100.0 % of filled)	60 (100.0 % of filled)	0 (0.0 % of filled)	60 (100.0 % of filled)	60 (100.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)

TOTAL	240 (0.5 % of total)	240 (100.0 % of missing)		---	---		240 (100.0 % of filled)	216 (90.0 % of filled)	180 (75.0 % of filled)	120 (50.0 % of filled)	92 (38.3 % of filled)	72 (30.0 % of filled)	23 (9.6 % of filled)	9 (3.8 % of filled)	8 (3.3 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	TORONTO LESTER B. PEARSON INT'L 	TORONTO BUTTONVILLE A	TORONTO	RICHMOND HILL	TORONTO ISLAND A	GEORGETOWN WWTP	TORONTO MALVERN	BRAMPTON MOE	TORONTO ELLESMERE	WOODBRIDGE
Max Temp (deg C)	1992	12	11	4	0.83	0.4	0.0	0.6	0.5			0.5			
Max Temp (deg C)	1992	12	21	4	0.83	0.2	-1.0	2.0	-0.5			0.0			
Max Temp (deg C)	1992	12	23	4	0.83	4.3	4.0	4.3	4.5			4.0			
Max Temp (deg C)	1992	12	29	4	0.83	4.2	3.3	5.1	2.5			3.5			
Max Temp (deg C)	1992	12	31	4	0.83	6.3	5.5	7.0	4.5			5.5			
Max Temp (deg C)	1993	1	10	4	0.83	-2.2	-0.9	-6.6	-8.0			-8.0			
Max Temp (deg C)	1993	1	24	4	0.83	3.6	2.4	5.2	2.0			4.0			
Max Temp (deg C)	1993	2	8	4	0.83	-2.2	-1.0	-6.1	-6.5			-7.0			
Max Temp (deg C)	1993	2	21	4	0.83	-5.6	-7.0	-3.5	-7.5			-6.5			
Max Temp (deg C)	1993	3	10	4	0.83	-2.2	-2.5	-2.3	-2.5			-2.0			
Max Temp (deg C)	1993	3	13	4	0.83	-6.1	-6.5	-5.9	-6.5			-6.5			
Max Temp (deg C)	1993	3	20	4	0.83	1.8	1.2	2.4	1.0			1.5			
Max Temp (deg C)	1993	3	22	4	0.83	3.0	2.6	3.6	4.5			3.0			
Max Temp (deg C)	1993	4	9	4	0.83	17.6	18.0	16.3	17.5			17.0			
Max Temp (deg C)	1993	4	10	4	0.83	9.6	9.4	9.1	8.0			9.5			
Max Temp (deg C)	1993	4	12	4	0.83	10.7	11.4	8.9	11.5			9.0			
Max Temp (deg C)	1993	4	14	4	0.83	12.0	12.4	10.9	13.5			13.0			
Max Temp (deg C)	1993	4	15	4	0.83	17.2	17.8	15.5	17.5			16.0			
Max Temp (deg C)	1993	4	20	4	0.83	15.1	14.5	16.0	16.0			12.0			
Max Temp (deg C)	1993	4	30	4	0.83	20.5	20.3	20.4	20.0			20.0			
Max Temp (deg C)	1993	5	3	4	0.83	22.0	21.9	22.0	23.0			19.5			
Max Temp (deg C)	1993	5	5	4	0.83	20.4	20.6	19.6	21.0			21.0			
Max Temp (deg C)	1993	6	6	4	0.83	23.5	23.3	23.5	23.5			23.0			
Max Temp (deg C)	1993	6	25	4	0.83	28.7	29.1	27.4	28.5			27.0			
Max Temp (deg C)	1993	7	11	4	0.84	30.4	30.4	30.1	30.0		30.0				
Max Temp (deg C)	1993	8	1	4	0.84	28.7	29.6	26.9	27.5		27.0				
Max Temp (deg C)	1993	9	16	4	0.84	15.2	15.0	15.5	16.0		15.5				
Max Temp (deg C)	1993	9	17	4	0.84	18.9	19.5	18.4	18.5		17.0				
Max Temp (deg C)	1993	9	18	4	0.84	19.0	19.4	18.2	19.5		19.0				
Max Temp (deg C)	1993	9	20	4	0.84	13.6	14.0	13.4	13.5		12.0				
Max Temp (deg C)	1993	9	21	4	0.84	15.8	16.1	15.3	16.5		15.5				
Max Temp (deg C)	1993	9	22	4	0.84	18.8	18.8	18.4	19.5		19.5				
Max Temp (deg C)	1993	9	23	4	0.84	21.1	21.2	20.7	19.5		19.5				
Max Temp (deg C)	1993	9	25	4	0.84	20.2	20.5	19.6	20.5		20.0				
Max Temp (deg C)	1993	9	26	4	0.84	19.4	18.8	20.4	17.5		17.5				
Max Temp (deg C)	1993	9	30	4	0.84	10.8	10.5	10.2	10.0		11.5				
Max Temp (deg C)	1993	10	1	4	0.84	16.6	16.5	16.4	16.0		16.0				
Max Temp (deg C)	1993	10	10	4	0.84	8.8	8.5	8.4	8.0		9.0				
Max Temp (deg C)	1993	10	11	4	0.84	11.2	10.5	11.2	11.0		12.5				
Max Temp (deg C)	1993	10	15	4	0.84	14.7	14.8	13.5	14.0		15.0				
Max Temp (deg C)	1993	10	17	4	0.84	15.4	15.1	14.7	14.5		16.0				
Max Temp (deg C)	1993	10	19	4	0.84	12.3	12.2	11.4	11.5		12.5				
Max Temp (deg C)	1993	10	23	4	0.84	11.5	11.0	11.0	12.0		13.5				
Max Temp (deg C)	1993	10	27	4	0.84	11.8	11.2	12.3	10.0		11.0				
Max Temp (deg C)	1993	10	30	4	0.84	7.2	7.1	7.2	6.5		6.5				
Max Temp (deg C)	1993	10	31	4	0.84	3.0	2.9	3.7	3.0		2.0				
Max Temp (deg C)	1993	11	5	4	0.84	15.0	15.0	13.9	14.0		15.0				
Max Temp (deg C)	1993	11	6	4	0.84	3.1	3.2	2.0	1.0		2.0				
Max Temp (deg C)	1993	11	7	4	0.84	3.4	2.8	3.6	3.0		4.0				
Max Temp (deg C)	1993	11	13	4	0.84	15.1	15.2	14.7	14.5		14.5				
Max Temp (deg C)	1993	11	15	4	0.84	10.1	9.4	11.1	8.5		9.0				
Max Temp (deg C)	1993	11	17	4	0.84	6.3	5.8	6.9	5.0		5.5				
Max Temp (deg C)	1993	11	25	4	0.84	-2.1	-4.4	2.7	-2.5		-3.0				
Max Temp (deg C)	1993	11	27	4	0.84	6.3	6.1	6.5	6.0		6.0				
Max Temp (deg C)	1993	11	30	4	0.84	1.7	1.0	1.9	1.0		2.5				
Max Temp (deg C)	1993	12	11	4	0.84	-6.1	-5.8	-7.6	-8.0		-7.0				
Max Temp (deg C)	1993	12	22	4	0.87	0.0	-0.8	0.0	-1.0						2.0
Max Temp (deg C)	1993	12	24	4	0.87	-2.4	-3.2	-2.0	-3.5						-2.0
Max Temp (deg C)	1993	12	27	4	0.87	-8.3	-8.9	-8.4	-9.5						-7.5
Max Temp (deg C)	1993	12	28	4	0.87	-7.5	-8.5	-5.8	-7.5						-8.0
Min Temp (deg C)	1992	12	11	4	1.24	-1.9	-2.4		-2.0	-0.4		-2.0			
Min Temp (deg C)	1992	12	21	4	1.24	-7.4	-8.6		-9.0	-4.6		-6.5			
Min Temp (deg C)	1992	12	23	4	1.24	-5.4	-6.8		-3.0	-4.4		-0.5			
Min Temp (deg C)	1992	12	29	4	1.24	1.0	0.5		1.0	2.1		2.0			
Min Temp (deg C)	1992	12	31	4	1.24	-3.5	-5.2		0.0	-1.0		1.0			
Min Temp (deg C)	1993	1	10	4	1.24	-12.9	-13.5		-13.5	-11.4		-13.0			
Min Temp (deg C)	1993	1	24	4	1.24	-2.8	-3.9		0.0	-2.0		1.0			
Min Temp (deg C)	1993	2	8	4	1.24	-11.7	-13.0		-11.0	-9.5		-10.0			
Min Temp (deg C)	1993	2	21	4	1.24	-11.4	-12.5		-13.0	-7.9		-12.0			
Min Temp (deg C)	1993	3	10	4	1.24	-11.9	-14.0		-11.5	-7.5		-9.0			
Min Temp (deg C)	1993	3	13	4	1.24	-13.7	-14.8		-13.0	-12.5		-11.5			
Min Temp (deg C)	1993	3	20	4	1.24	-2.7	-3.1		-4.5	-1.2		-3.0			
Min Temp (deg C)	1993	3	22	4	1.24	-5.7	-7.2		-7.0	-2.1		-4.0			
Min Temp (deg C)	1993	4	9	4	1.24	5.7	6.0		6.0	5.2		5.5			
Min Temp (deg C)	1993	4	10	4	1.24	2.8	1.9		5.0	4.2		5.5			
Min Temp (deg C)	1993	4	12	4	1.24	-0.3	-1.0		-1.5	1.4		1.0			
Min Temp (deg C)	1993	4	14	4	1.24	-0.9	-1.6		-1.5	1.0		0.0			
Min Temp (deg C)	1993	4	15	4	1.24	6.1	6.4		6.0	5.9		6.0			
Min Temp (deg C)	1993	4	20	4	1.24	2.3	2.0		4.0	3.0		3.0			
Min Temp (deg C)	1993	4	30	4	1.24	7.6	8.1		10.0	5.3		9.5			
Min Temp (deg C)	1993	5	3	4	1.24	8.1	8.4		9.5	7.2		8.5			
Min Temp (deg C)	1993	5	5	4	1.24	11.9	13.0		13.0	9.2		12.0			
Min Temp (deg C)	1993	6	6	4	1.24	9.6	9.6		9.5	9.5		10.5			
Min Temp (deg C)	1993	6	25	4	1.24	14.2	13.8		14.5	16.3		14.0			
Min Temp (deg C)	1993	7	11	4	1.22	16.5	15.0	19.1	15.0	19.4					
Min Temp (deg C)	1993	8	1	4	1.22	12.7	11.4	16.0	12.5	14.7					
Min Temp (deg C)	1993	9	16	4	1.22	5.2	4.0	7.2	4.5	8.0					
Min Temp (deg C)	1993	9	17	4	1.22	10.8	10.4	11.7	8.0	11.5					
Min Temp (deg C)	1993	9	18	4	1.22	10.7	10.0	13.6	12.0	11.5					
Min Temp (deg C)	1993	9	20	4	1.22	2.0	-0.2	6.0	0.5	6.2					
Min Temp (deg C)	1993	9	21	4	1.22	6.9	5.1	9.7	6.5	10.9					
Min Temp (deg C)	1993	9	22	4	1.22	4.8	3.0	9.2	5.0	7.5					
Min Temp (deg C)	1993	9	23	4	1.22	8.5	6.5	15.1	12.0	9.9					
Min Temp (deg C)	1993	9	25	4	1.22	4.7	2.8	7.7	7.5	9.5					
Min Temp (deg C)	1993	9	26	4	1.22	11.5	10.8	13.4	12.5	13.0					
Min Temp (deg C)	1993	9	30	4	1.22	0.1	-1.0	2.2	-0.5	2.6					
Min Temp (deg C)	1993	10	1	4	1.22	2.4	-0.7	7.1	-0.5	8.5					
Min Temp (deg C)	1993	10	10	4	1.22	-2.1	-2.7	-0.8	-3.5	-0.3					
Min Temp (deg C)	1993	10	11	4	1.22	-2.7	-4.5	1.4	-3.0	0.2					
Min Temp (deg C)	1993	10	15	4	1.22	0.9	-1.2	5.3	0.0	4.2					
Min Temp (deg C)	1993	10	17	4	1.22	10.2	9.9	12.9	12.5	10.1					
Min Temp (deg C)	1993	10	19	4	1.22	2.6	1.0	6.4	2.0	4.9					
Min Temp (deg C)	1993	10	23	4	1.22	0.7	-0.3	2.5	-1.5	3.1					
Min Temp (deg C)	1993	10	27	4	1.22	5.5	4.4	9.0	6.5	6.9					
Min Temp (deg C)	1993	10	30	4	1.22	-1.0	-2.5	1.6	-3.0	2.2					
Min Temp (deg C)	1993	10	31	4	1.22	0.9	0.4	2.2	0.0	2.0					
Min Temp (deg C)	1993	11	5	4	1.22	4.1	2.6	8.0	6.0	6.5					
Min Temp (deg C)	1993	11	6	4	1.22	-2.9	-4.2	0.4	-2.0	-0.8					
Min Temp (deg C)	1993	11	7	4	1.22	-2.2	-3.0	-1.3	-5.0	0.0					
Min Temp (deg C)	1993	11	13	4	1.22	-0.1	-1.8	2.2	-3.0	3.7					
Min Temp (deg C)	1993	11	15	4	1.22	2.8	1.3	7.2	4.0	4.6					
Min Temp (deg C)	1993	11	17	4	1.22	2.5	1.2	5.9	2.0	4.4					
Min Temp (deg C)	1993	11	25	4	1.22	-11.1	-12.3	-8.9	-12.0	-8.1					
Min Temp (deg C)	1993	11	27	4	1.22	3.2	2.9	4.1	1.5	4.0					
Min Temp (deg C)	1993	11	30	4	1.22	-4.5	-5.7	-2.1	-5.0	-1.8					
Min Temp (deg C)	1993	12	11	4	1.22	-11.7	-12.4	-10.0	-12.0	-9.6					
Min Temp (deg C)	1993	12	22	4	1.22	-10.8	-13.3	-1.9	-7.5	-9.7					
Min Temp (deg C)	1993	12	24	4	1.22	-12.5	-15.2	-8.7	-15.0	-6.9					
Min Temp (deg C)	1993	12	27	4	1.22	-21.3	-23.0	-18.1	-23.5	-18.0					
Min Temp (deg C)	1993	12	28	4	1.22	-15.6	-17.8	-11.5	-17.0	-11.6					
Mean Temp (deg C)	1992	12	11	4	0.78	-0.9	-1.2	-0.1	-0.8			-0.8			
Mean Temp (deg C)	1992	12	21	4	0.78	-3.7	-4.8	-1.4	-4.8			-3.3			
Mean Temp (deg C)	1992	12	23	4	0.78	-0.3	-1.4	2.4	0.8			1.8			
Mean Temp (deg C)	1992	12	29	4	0.78	2.7	1.9	4.5	1.8			2.8			
Mean Temp (deg C)	1992	12	31	4	0.78	1.6	0.2	4.7	2.3			3.3			
Mean Temp (deg C)	1993	1	10	4	0.78	-7.7	-7.2	-9.2	-10.8			-10.5			
Mean Temp (deg C)	1993	1	24	4	0.78	0.5	-0.8	3.3	1.0			2.5			
Mean Temp (deg C)	1993	2	8	4	0.78	-6.9	-7.0	-7.1	-8.8			-8.5			
Mean Temp (deg C)	1993	2	21	4	0.78	-8.3	-9.8	-5.5	-10.3			-9.3			
Mean Temp (deg C)	1993	3	10	4	0.78	-7.1	-8.3	-4.7	-7.0			-5.5			
Mean Temp (deg C)	1993	3	13	4	0.78	-9.4	-10.7	-6.8	-9.8			-9.0			
Mean Temp (deg C)	1993	3	20	4	0.78	-0.7	-1.0	-0.2	-1.8			-0.8			
Mean Temp (deg C)	1993	3	22	4	0.78	-1.4	-2.3	0.7	-1.3			-0.5			
Mean Temp (deg C)	1993	4	9	4	0.78	11.9	12.0	12.1	11.8			11.3			
Mean Temp (deg C)	1993	4	10	4	0.78	6.4	5.7	8.1	6.5			7.5			
Mean Temp (deg C)	1993	4	12	4	0.78	5.1	5.2	5.0	5.0			5.0			
Mean Temp (deg C)	1993	4	14	4	0.78	5.7	5.4	6.7	6.0			6.5			
Mean Temp (deg C)	1993	4	15	4	0.78	11.7	12.1	11.1	11.8			11.0			
Mean Temp (deg C)	1993	4	20	4	0.78	8.6	8.3	9.7	10.0			7.5			
Mean Temp (deg C)	1993	4	30	4	0.78	14.3	14.2	15.0	15.0			14.8			
Mean Temp (deg C)	1993	5	3	4	0.78	15.4	15.2	16.4	16.3			14.0			
Mean Temp (deg C)	1993	5	5	4	0.78	16.7	16.8	16.9	17.0			16.5			
Mean Temp (deg C)	1993	6	6	4	0.78	16.6	16.5	17.2	16.5			16.8			
Mean Temp (deg C)	1993	6	25	4	0.78	21.6	21.5	22.3	21.5			20.5			
Mean Temp (deg C)	1993	7	11	4	0.78	23.1	22.7	24.6	22.5				23.0		
Mean Temp (deg C)	1993	8	1	4	0.79	20.6	20.5	21.5	20.0					21.5	
Mean Temp (deg C)	1993	9	16	4	0.79	10.0	9.5	11.4	10.3					10.5	
Mean Temp (deg C)	1993	9	17	4	0.79	14.9	15.0	15.1	13.3					15.0	
Mean Temp (deg C)	1993	9	18	4	0.79	14.9	14.7	15.9	15.8					16.5	
Mean Temp (deg C)	1993	9	20	4	0.78	7.6	6.9	9.7	7.0				6.8		
Mean Temp (deg C)	1993	9	21	4	0.78	10.9	10.6	12.5	11.5				10.8		
Mean Temp (deg C)	1993	9	22	4	0.78	11.6	10.9	13.8	12.3				11.8		
Mean Temp (deg C)	1993	9	23	4	0.78	14.9	13.9	17.9	15.8				16.0		
Mean Temp (deg C)	1993	9	25	4	0.78	11.9	11.7	13.7	14.0				12.0		
