Station	RMSE	MAE	ME	r	Emax	Emin
STE MADELEINE	1	0.7	0.02	0.996	-14.1	12
MARIEVILLE	0.9	0.6	0	0.997	-13.3	6.6
PHILIPSBURG	1.2	0.8	0.02	0.995	-12.4	12.4
FLEURY	0.9	0.6	0	0.997	-12.6	9.2
IBERVILLE	0.9	0.6	0	0.997	-9.3	8.2
BROME	1.1	0.7	-0.07	0.996	-23	7.7
ST GUILLAUME	1	0.7	0	0.997	-39.7	18.2
FARNHAM	1	0.7	-0.02	0.997	-7.6	11.9
ST AMABLE	1.5	1	-0.01	0.993	-9.3	12
ST HYACINTHE 2	0.9	0.6	-0.01	0.997	-10.9	6.9
GRANBY	0.9	0.6	0.02	0.997	-9.6	7.3
SUTTON	0.9	0.6	0	0.997	-10.5	22.3
BONSECOURS	1.2	0.8	0	0.995	-9.4	9.1
PIERREVILLE	1	0.7	0	0.997	-10.9	8.5
VERCHERES	1.1	0.7	0.03	0.996	-13.6	8.8
SABREVOIS	1.1	0.7	0	0.996	-8.5	6.8
ST NAZAIRE	1	0.7	0.01	0.997	-8.7	7.9
SOREL	1.2	0.8	0.01	0.996	-12.4	19.4
ST BERNARD DE LACOLLE	1.4	1	-0.03	0.993	-19.1	11.2
	1.0631578947	0.7157894737	-0.001579	0.9961052632		
	1.50	1.00	0.03	0.997		
	0.90	0.60	-0.07	0.993		
