Station	RMSE	MAE	ME	r	Emax	Emin
STE MADELEINE	0.8	0.6	0	0.998	-7.5	6.4
MARIEVILLE	0.8	0.5	0.01	0.998	-7.2	5.5
PHILIPSBURG	0.9	0.7	0.01	0.997	-6.8	8.4
FLEURY	0.8	0.6	0	0.998	-6.4	6.6
IBERVILLE	0.8	0.6	0.03	0.998	-5.5	4.9
BROME	1.1	0.8	-0.08	0.996	-11.2	6.7
ST GUILLAUME	0.8	0.6	0	0.998	-19.8	6.4
FARNHAM	0.9	0.6	-0.02	0.997	-4.9	5.8
ST AMABLE	1.2	0.9	0	0.995	-6.9	7.4
ST HYACINTHE 2	0.8	0.6	-0.02	0.998	-6.7	5.8
GRANBY	0.9	0.7	0	0.997	-7.8	5.1
SUTTON	0.8	0.6	0	0.998	-8.2	15.8
BONSECOURS	1.1	0.8	0.02	0.996	-7.1	6.2
PIERREVILLE	0.9	0.7	-0.01	0.997	-7.6	6.6
VERCHERES	0.9	0.6	0.04	0.997	-6.1	8.9
SABREVOIS	0.8	0.6	0.01	0.998	-8.9	4.9
ST NAZAIRE	0.9	0.6	0.01	0.997	-6.7	7.1
SOREL	1.1	0.8	0.07	0.996	-7	8.4
ST BERNARD DE LACOLLE	1.1	0.8	-0.04	0.995	-10.3	11
	0.9157894737	0.6684210526	0.0015789474	0.9970526316		
	1.2	0.9	0.07	0.998		
	0.8	0.5	-0.08	0.995		
