Station	RMSE	MAE	ME	r	Emax	Emin
STE MADELEINE	1.2	0.8	-0.01	0.995	-11.5	12.5
MARIEVILLE	1.2	0.8	0.03	0.995	-13.5	9.3
PHILIPSBURG	1.4	1	0	0.993	-10.7	10.5
FLEURY	1.2	0.9	0	0.995	-7.3	7.8
IBERVILLE	1.2	0.9	0.06	0.994	-9	7.7
BROME	1.8	1.3	-0.11	0.989	-12.8	13.1
ST GUILLAUME	1.2	0.8	-0.01	0.995	-11	11.8
FARNHAM	1.3	1	-0.03	0.994	-10.4	11.5
ST AMABLE	1.8	1.3	0.02	0.988	-13.7	12.4
ST HYACINTHE 2	1.2	0.9	-0.01	0.995	-10.3	10.8
GRANBY	1.3	1	-0.01	0.993	-11.4	9.2
SUTTON	1.2	0.9	0	0.994	-12.4	30.4
BONSECOURS	1.7	1.3	0.15	0.989	-16	9.7
PIERREVILLE	1.3	1	-0.02	0.994	-8.3	9.7
VERCHERES	1.3	1	0.05	0.993	-7.3	11.6
SABREVOIS	1.2	0.8	0.01	0.995	-15.5	9.6
ST NAZAIRE	1.4	1	0.02	0.993	-9.3	13.6
SOREL	2	1.4	0.13	0.987	-8.2	15
ST BERNARD DE LACOLLE	1.6	1.1	-0.06	0.99	-10.3	16.3
	1.3947368421	1.0105263158	0.0110526316	0.9926842105		
	2.0	1.4	0.15	0.995		
	1.2	0.8	-0.11	0.987		
