Station	RMSE	MAE	ME	r	Emax	Emin
STE MADELEINE	2.6	1	0.01	0.919	-40.7	31.8
MARIEVILLE	2.8	1.1	0	0.908	-63.7	28.8
PHILIPSBURG	2.9	1.2	-0.05	0.881	-40.2	54.1
FLEURY	2.5	1	-0.04	0.928	-41.1	24.6
IBERVILLE	2.6	1.1	-0.12	0.915	-47	30.9
BROME	3	1.3	-0.17	0.902	-73.2	32.8
ST GUILLAUME	2.3	1	-0.01	0.927	-33	23.1
FARNHAM	2.7	1.1	-0.09	0.912	-66	41.6
ST AMABLE	2.9	1.2	-0.04	0.89	-55.9	29.8
ST HYACINTHE 2	2.5	1	-0.06	0.921	-50.7	33.4
GRANBY	2.8	1.2	-0.03	0.912	-62.3	47.6
SUTTON	2.9	1.3	-0.07	0.912	-44.3	24.8
BONSECOURS	3.1	1.4	-0.1	0.89	-49.6	28.6
PIERREVILLE	2.6	1	-0.01	0.903	-62.9	32.6
VERCHERES	2.6	1.1	-0.1	0.895	-33.3	38.5
SABREVOIS	3.1	1.2	-0.02	0.875	-63.3	51.1
ST NAZAIRE	2.6	1.1	-0.08	0.911	-37.6	24.9
SOREL	2.9	1.1	-0.06	0.886	-72.1	24.8
ST BERNARD DE LACOLLE	3.4	1.3	0.03	0.847	-96.8	39.7
	2.7789473684	1.1421052632	-0.0531578947	0.9017894737		
	3.4	1.4	0.03	0.928		
	2.3	1.0	-0.17	0.847		
